ed6bf512-95a9-4783-9ce9-672cf176c0ab,2021-04-17 05:49:59.331724,2021-04-17 05:49:59.331724,Unspoiled and serene stretch of beach,"Unspoiled and serene stretch of beach. Plenty of parking and has has ramps to the beach for handicapped and those who can’t do steps. The last parking spot, Boardwalk 13 is a nude beach. Make sure to bring water to wash down your feet or …",4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
6c333a12-bf80-47cb-a122-cdbbb5ab844b,2021-04-17 05:49:59.352179,2021-04-17 05:49:59.352179,"We had an awesome day, wish we could have stayed longer","We had an awesome day, wish we could have stayed longer. We were able to look around at the beach and saw some crabs mating on the interior side. We also did the short hike up Turtle Mound for the best view of the seashore. It was well worth it.",4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
cbf57b03-f164-4ac7-9647-db5bd47b0f1d,2021-04-17 05:49:59.375298,2021-04-17 05:49:59.375298,"I should give this beach a 1 star just to keep it to myself, but it is amazing! It does cost money to get in and will fill up quickly on busy days so you have to get here early","I should give this beach a 1 star just to keep it to myself, but it is amazing! It does cost money to get in and will fill up quickly on busy days so you have to get here early. If you don''t like tan lines then pier 13 is where you need to go. Great place to fish or just enjoy a natural beach and dunes.",4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
5512c32a-2b79-4abe-8d43-14932bdbc209,2021-04-17 05:49:59.398991,2021-04-17 05:49:59.398991,Nice quite seashore with 13 sections,"Nice quite seashore with 13 sections. While the first 12 are low key, the last one bears a sign that says '"you might encounter nude sunbathing'" 😉.  Its a part of the national park and there is a charge of $20 per vehicle, valid for 7 days. If you have a valid national parks pass then there is no extra charge.",4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
0dedd50e-9dde-430d-a66f-5e38b14639af,2021-04-17 05:49:59.418164,2021-04-17 05:49:59.418164,"Very nice low key beach,  not crowded at all","Very nice low key beach,  not crowded at all.    To me it was worth the $20 per car admission.  The sand is a bit chunky and really sticks to you.   We went in a weekday and there was enough parking,  but parking lots are small so I can see them getting filled quickly on weekends",4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
4c5dd99a-99eb-4882-91ea-f097355725db,2021-04-17 05:49:59.436533,2021-04-17 05:49:59.436533,Very quiet beach,Very quiet beach. If you are a Veteran you get in for free. Thank you for serving. Also be ware it is a nude beach just in case you are not aware. This beach is very pretty.,3.69,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
078bf8af-23db-4c88-95fc-34282110d41f,2021-04-17 05:49:59.45649,2021-04-17 05:49:59.45649,A quiet beach away from the world,A quiet beach away from the world. As a heads up there is 0 cell service and I recommend you bring a cooler and everything you need or can uses for a day at the beach you could spend hours here enjoying the silence and the steady crashing sound of the waves as you stare to where the ocean meats the sky. Parking is $20,4.39,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
c58d4db3-d50b-4815-861f-0276b019d402,2021-04-17 05:49:59.479122,2021-04-17 05:49:59.479122,This is a tranquil and beautiful wildlife sanctuary and beach,This is a tranquil and beautiful wildlife sanctuary and beach. The diverse ecosystems give way to plenty of opportunities for sighting wildlife and the beaches here are clean and not crowded. Also a great place to do some surf fishing.,4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,05e60851-33d8-49f3-acd9-38ad8503a18d
11c5ae2a-9878-46df-92fc-01bd80102956,2021-04-17 05:49:59.511381,2021-04-17 05:49:59.511381,One of my favorite places to visit in the summer,"One of my favorite places to visit in the summer. Everything from the lighthouse to the Sunken Forest makes this a gem making our state proud. The beaches are so pristine and stunningly breathtaking. Each beach here is unique, you see so …",4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,111632f9-164c-4693-87df-5e2e1e9d1bc5
d0d798ca-cac3-4ef7-af2e-c1269f159fa3,2021-04-17 05:49:59.536345,2021-04-17 05:49:59.536345,"We put our bikes on our boat, cruised over to Kismet and docked, then rode over to the lighthouse and Robert Moses","We put our bikes on our boat, cruised over to Kismet and docked, then rode over to the lighthouse and Robert Moses.  You could drive to Moses Field 5 and do the same.
The people at the lighthouse were great and the climb up was very interesting.  Excellent way to spend the afternoon.",4.6,423af4e7-0e71-4a65-9fd2-56a4e66f67af,423af4e7-0e71-4a65-9fd2-56a4e66f67af,111632f9-164c-4693-87df-5e2e1e9d1bc5
